Channel  Owner  SlaveId  Periph
0.       4.      0x0     0x01
1.       4.      0x0     0x04
2.       4.      0x0     0x05
3.       4.      0x0     0x06
4.       0.      0x0     0x08
5.       0.      0x0     0x09
6.       4.      0x0     0x0B
7.       4.      0x0     0x0C
8.       2.      0x0     0x1C
9.       0.      0x0     0x24
10.      0.      0x0     0x28
11.      4.      0x0     0x2C
12.      0.      0x0     0x31
13.      2.      0x0     0x32
14.      0.      0x0     0x34
15.      0.      0x0     0x35
16.      0.      0x0     0x37
17.      2.      0x0     0x38
18.      0.      0x0     0x39
19.      4.      0x0     0x3C
20.      0.      0x0     0x3D
21.      0.      0x0     0x3E
22.      2.      0x0     0x3F
23.      2.      0x0     0x50
24.      4.      0x0     0x51
25.      4.      0x0     0x52
26.      4.      0x0     0x53
27.      2.      0x0     0x54
28.      2.      0x0     0x55
29.      2.      0x0     0x56
30.      4.      0x0     0x59
31.      4.      0x0     0x5A
32.      4.      0x0     0x5B
33.      4.      0x0     0x5C
34.      4.      0x0     0x5D
35.      2.      0x0     0x60
36.      0.      0x0     0x61
37.      0.      0x0     0x62
38.      4.      0x0     0x70
39.      4.      0x0     0x71
40.      4.      0x0     0x72
41.      0.      0x0     0x73
42.      2.      0x0     0x74
43.      2.      0x0     0xC0
44.      0.      0x0     0xC1
45.      0.      0x0     0xC2
46.      0.      0x0     0xC3
47.      0.      0x0     0xC4
48.      0.      0x0     0xC5
49.      0.      0x0     0xC6
50.      0.      0x0     0xC7
51.      0.      0x0     0xC8
52.      0.      0x0     0xC9
53.      0.      0x0     0xCA
54.      0.      0x0     0xCB
55.      0.      0x0     0xCC
56.      0.      0x0     0xCD
57.      0.      0x0     0xCE
58.      0.      0x0     0xCF
59.      0.      0x0     0xD0
60.      0.      0x0     0xD1
61.      0.      0x0     0xD2
62.      0.      0x0     0xD3
63.      0.      0x0     0xD4
64.      0.      0x0     0xD5
65.      0.      0x0     0xD6
66.      4.      0x0     0xD7
67.      4.      0x0     0xD8
68.      4.      0x0     0xD9
69.      4.      0x1     0x01
70.      4.      0x1     0x10
71.      4.      0x1     0x14
72.      4.      0x1     0x15
73.      4.      0x1     0x16
74.      4.      0x1     0x17
75.      4.      0x1     0x18
76.      4.      0x1     0x19
77.      4.      0x1     0x1A
78.      4.      0x1     0x1B
79.      4.      0x1     0x1C
80.      4.      0x1     0x1D
81.      4.      0x1     0x1E
82.      4.      0x1     0x1F
83.      4.      0x1     0x20
84.      4.      0x1     0x21
85.      4.      0x1     0x22
86.      4.      0x1     0x23
87.      4.      0x1     0x24
88.      4.      0x1     0x25
89.      4.      0x1     0x26
90.      4.      0x1     0x27
91.      4.      0x1     0x28
92.      4.      0x1     0x29
93.      4.      0x1     0x2A
94.      4.      0x1     0x2B
95.      4.      0x1     0x2C
96.      4.      0x1     0x2D
97.      4.      0x1     0x2E
98.      0.      0x1     0x2F
99.      0.      0x1     0x30
100.     0.      0x1     0x31
101.     0.      0x1     0x32
102.     0.      0x1     0x33
103.     0.      0x1     0x34
104.     0.      0x1     0x35
105.     0.      0x1     0x36
106.     0.      0x1     0x37
107.     0.      0x1     0x38
108.     0.      0x1     0x39
109.     0.      0x1     0x3A
110.     4.      0x1     0x40
111.     4.      0x1     0x41
112.     4.      0x1     0x42
113.     4.      0x1     0x43
114.     4.      0x1     0x44
115.     4.      0x1     0x45
116.     4.      0x1     0x46
117.     4.      0x1     0x47
118.     2.      0x1     0x48
119.     2.      0x1     0x49
120.     4.      0x1     0x4A
121.     4.      0x1     0x4B
122.     4.      0x1     0x4C
123.     4.      0x1     0x4D
124.     4.      0x1     0x4E
125.     4.      0x1     0x4F
126.     4.      0x1     0x50
127.     4.      0x1     0x51
128.     4.      0x1     0x52
129.     4.      0x1     0x53
130.     4.      0x1     0x54
131.     4.      0x1     0x55
132.     4.      0x1     0x56
133.     4.      0x1     0x57
134.     4.      0x1     0x58
135.     4.      0x1     0x59
136.     4.      0x1     0x5A
137.     4.      0x1     0x5B
138.     4.      0x1     0x5C
139.     4.      0x1     0x80
140.     4.      0x1     0x81
141.     4.      0x2     0x01
142.     4.      0x2     0x04
143.     4.      0x2     0x05
144.     4.      0x2     0x06
145.     0.      0x2     0x08
146.     0.      0x2     0x09
147.     0.      0x2     0x10
148.     0.      0x2     0x11
149.     0.      0x2     0x12
150.     0.      0x2     0x13
151.     0.      0x2     0x14
152.     0.      0x2     0x15
153.     0.      0x2     0x16
154.     0.      0x2     0x17
155.     0.      0x2     0x18
156.     0.      0x2     0x1B
157.     2.      0x2     0x1C
158.     0.      0x2     0x24
